,Seed,Fold,accuracy,precision,recall,f1,f2,specificity,npv,mcc
0,0,1,0.961038961038961,1.0,0.8636363636363636,0.926829268292683,0.8878504672897196,1.0,0.9482758620689655,0.9049671360007385
1,0,2,0.948051948051948,1.0,0.8181818181818182,0.9,0.8490566037735849,1.0,0.9322033898305084,0.873333764609373
2,0,3,0.948051948051948,0.95,0.8636363636363636,0.9047619047619048,0.8796296296296297,0.9818181818181818,0.9473684210526315,0.8710248047709754
3,0,4,0.9736842105263158,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9818181818181818,0.9818181818181818,0.9341991341991343
4,0,5,0.9078947368421053,0.75,1.0,0.8571428571428571,0.9375,0.8727272727272727,1.0,0.8090398349558905
0,1,1,0.961038961038961,1.0,0.8636363636363636,0.926829268292683,0.8878504672897196,1.0,0.9482758620689655,0.9049671360007385
1,1,2,0.935064935064935,1.0,0.7727272727272727,0.8717948717948718,0.8095238095238095,1.0,0.9166666666666666,0.8416254115301732
2,1,3,0.935064935064935,1.0,0.7727272727272727,0.8717948717948718,0.8095238095238095,1.0,0.9166666666666666,0.8416254115301732
3,1,4,0.9736842105263158,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9818181818181818,0.9818181818181818,0.9341991341991343
4,1,5,0.881578947368421,0.7,1.0,0.8235294117647058,0.9210526315789473,0.8363636363636363,1.0,0.7651500150000295
0,2,1,0.961038961038961,1.0,0.8636363636363636,0.926829268292683,0.8878504672897196,1.0,0.9482758620689655,0.9049671360007385
1,2,2,0.935064935064935,1.0,0.7727272727272727,0.8717948717948718,0.8095238095238095,1.0,0.9166666666666666,0.8416254115301732
2,2,3,0.9090909090909091,0.9411764705882353,0.7272727272727273,0.8205128205128205,0.7619047619047619,0.9818181818181818,0.9,0.772315083521806
3,2,4,0.9473684210526315,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.9345794392523364,0.9454545454545454,0.9811320754716981,0.8739486411940716
